"Rose"|0.292221128940582|"2"|"39"|"Captain Hardrock"
"Tikki"|-0.259754955768585|"2"|"39"|"Captain Hardrock"
"Adrien"|-0.125142326205969|"3"|"73"|"Cat Blanc"
"Alix"|-0.302760004997253|"3"|"73"|"Cat Blanc"
"All the girls except Marinette"|0.165584683418274|"3"|"73"|"Cat Blanc"
"Alya"|0.475610375404358|"3"|"73"|"Cat Blanc"
"Alya, Rose, and Juleka"|-0.666009604930878|"3"|"73"|"Cat Blanc"
"Alya, Rose, Juleka, and Mylène"|-0.568183451890945|"3"|"73"|"Cat Blanc"
"Bunnyx"|-0.102405627568563|"3"|"73"|"Cat Blanc"
"Cat Blanc"|-0.196263702292191|"3"|"73"|"Cat Blanc"
"Cat Noir"|-0.381061775485675|"3"|"73"|"Cat Blanc"
"Chloé"|-0.769710853695869|"3"|"73"|"Cat Blanc"
"Gabriel"|-0.112585835158825|"3"|"73"|"Cat Blanc"
"Hawk Moth"|0.171116468310356|"3"|"73"|"Cat Blanc"
"Ladybug"|-0.148452831262892|"3"|"73"|"Cat Blanc"
"Ladybug from 10 minutes"|0.364058971405029|"3"|"73"|"Cat Blanc"
"Marinette"|-0.365518534183502|"3"|"73"|"Cat Blanc"
"Mylène"|0.150342086950938|"3"|"73"|"Cat Blanc"
"Nadja"|-0.662488669157028|"3"|"73"|"Cat Blanc"
"Nathalie"|-0.189006224274635|"3"|"73"|"Cat Blanc"
"Plagg"|-0.413233584165573|"3"|"73"|"Cat Blanc"
"Rose"|0.157523214817047|"3"|"73"|"Cat Blanc"
"Tikki"|-0.0588188866774241|"3"|"73"|"Cat Blanc"
"Tom"|-0.245749413967133|"3"|"73"|"Cat Blanc"
"Adrien"|0.0269008709324731|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Akumatized Ladybug Illusion"|-0.209612265229225|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Alya"|0.22760558873415|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Carapace"|-0.0156721174716949|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Cat Noir"|-0.0803263902664185|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Cat Noir Illusion"|-0.248347808917363|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Catalyst"|0.462939620018005|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Chloé"|0.0355063676834106|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Clara"|-0.732113867998123|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Clara Contard"|0.437400758266449|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Class"|-0.384434133768082|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Ella and Etta"|0.451093077659607|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
"Frightningale"|-0.590706020593643|"99999"|"99999"|"Catalyst (Heroes' Day - Part 1)"
