"Sentibubbler"|"89"|"4"|"11"|"12 September 2021"|"0.0915966386554622"|"0.557692307692308"|"9"|"0.044332951470579"
"Silencer"|"58"|"3"|"6"|"19 May 2019"|"0.205263157894737"|"0.693333333333333"|"10"|"0.0373989115864643"
"Simon Says"|"23"|"1"|"23"|"27 March 2016"|"0.214285714285714"|"0.731707317073171"|"9"|"-0.116580927144824"
"Simpleman"|"94"|"4"|"16"|"17 October 2021"|"0.0795586527293844"|"0.573643410852713"|"11"|"-0.179676103665375"
"Sole Crusher"|"84"|"4"|"6"|"6 June 2021"|"0.133597883597884"|"0.58695652173913"|"8"|"-0.121726868409832"
"Startrain"|"66"|"3"|"14"|"25 October 2019"|"0.0695652173913043"|"0.434782608695652"|"10"|"-0.104405953985189"
"Stoneheart (Origins - Part 2)"|"NA"|"NA"|"NA"|"NA"|"0.125661375661376"|"0.527472527472527"|"8"|"0.0139764481055659"
"Stormy Weather 2"|"60"|"3"|"8"|"2 June 2019"|"0.144179894179894"|"0.604166666666667"|"8"|"-0.123921049701238"
"Stormy Weather"|"1"|"1"|"1"|"19 October 2015"|"0.245098039215686"|"0.666666666666667"|"7"|"-0.0829560469644272"
"Strikeback (Shadow Moth's Final Attack - Part 2)"|"NA"|"NA"|"NA"|"NA"|"0.0912698412698413"|"0.673076923076923"|"8"|"-0.250968964152925"
"Style Queen (Queen's Battle - Part 1)"|"NA"|"NA"|"NA"|"NA"|"0.24047619047619"|"0.666666666666667"|"8"|"-0.097492769435118"
"Syren"|"41"|"2"|"15"|"3 June 2018"|"0.0987903225806452"|"0.580645161290323"|"10"|"-0.232640045347593"
"The Bubbler"|"2"|"1"|"2"|"20 October 2015"|"0.175724637681159"|"0.673913043478261"|"10"|"-0.224989759959954"
"The Collector"|"28"|"2"|"2"|"26 October 2017"|"0.163157894736842"|"0.566037735849057"|"11"|"-0.123868285316024"
"The Dark Owl"|"35"|"2"|"9"|"10 December 2017"|"0.144927536231884"|"0.675324675324675"|"8"|"-0.395387962338167"
"The Evillustrator"|"7"|"1"|"7"|"26 October 2015"|"0.391025641025641"|"0.736842105263158"|"14"|"-0.298547720071835"
"The Mime"|"13"|"1"|"13"|"13 December 2015"|"0.304761904761905"|"0.666666666666667"|"13"|"-0.125281154067885"
"The Pharaoh"|"3"|"1"|"3"|"21 October 2015"|"0.33974358974359"|"0.680851063829787"|"20"|"-0.128712141491517"
"The Puppeteer 2"|"64"|"3"|"12"|"23 October 2019"|"0.178571428571429"|"0.619718309859155"|"18"|"-0.235585779693794"
"The Puppeteer"|"18"|"1"|"18"|"7 February 2016"|"0.266666666666667"|"0.758620689655172"|"9"|"-0.186005788159415"
"Timebreaker"|"5"|"1"|"5"|"23 October 2015"|"0.117204301075269"|"0.563106796116505"|"13"|"-0.114280789741466"
"Timetagger"|"70"|"3"|"18"|"30 October 2019"|"0.109605911330049"|"0.55421686746988"|"8"|"-0.0932817815080666"
"Troublemaker"|"43"|"2"|"17"|"17 June 2018"|"0.226190476190476"|"0.613636363636364"|"10"|"-0.164746209170104"
"Truth"|"79"|"4"|"1"|"11 April 2021"|"0.0918560606060606"|"0.531914893617021"|"10"|"-0.247390864917973"
"Volpina"|"24"|"1"|"24"|"3 April 2016"|"0.225"|"0.666666666666667"|"10"|"-0.0680230009265129"
"Weredad"|"54"|"3"|"2"|"21 April 2019"|"0.271428571428571"|"0.730769230769231"|"22"|"-0.305846735178649"
"Wishmaker"|"92"|"4"|"14"|"3 October 2021"|"0.0966386554621849"|"0.6"|"8"|"-0.168700252101356"
"Zombizou"|"40"|"2"|"14"|"27 May 2018"|"0.150574712643678"|"0.587301587301587"|"7"|"-0.0822613579881659"
